,지번주소,위도,경도
100,부산광역시 금정구 금사동 154-1,35.2152226,129.1130694
101,부산광역시 금정구 서동 241,35.215436,129.1052653
102,부산광역시 기장군 철마면 고촌리 518-2,35.2360263,129.1605183
103,부산광역시 기장군 철마면 안평리 543-23,35.2375366,129.1720818
104,부산광역시 동래구 낙민동 205-4,35.2003546,129.0904664
105,부산광역시 동래구 명장동 184,35.2047129,129.1022454
106,부산광역시 동래구 수안동 204-2,35.1985038,129.0885195
107,부산광역시 동래구 안락동 473,35.1998025,129.0975146
108,부산광역시 동래구 온천동 1470,35.2067184,129.0723909
109,부산광역시 동래구 온천동 1486,35.2036033,129.0698802
110,부산광역시 해운대구 반송동 385-56,35.2321522,129.1524798
111,부산광역시 해운대구 반송동 698-12,35.2259666,129.1462566
112,부산광역시 해운대구 석대동 507-1,35.2180466,129.1240813
113,부산광역시 해운대구 석대동 574-14,35.2180971,129.1370944
